"ANNUAL AND SEASONAL MINIMUM TEMPERATURE OF INDIA ",""
"YEAR","OCT-DEC"
"1901","16.59"
"1902","16.50"
"1903","16.29"
"1904","16.44"
"1905","16.39"
"1906","16.88"
"1907","16.14"
"1908","15.70"
"1909","16.61"
"1910","15.72"
"1911","16.66"
"1912","16.02"
"1913","16.24"
"1914","16.66"
"1915","16.79"
"1916","16.23"
"1917","16.25"
"1918","16.33"
"1919","16.36"
"1920","16.26"
"1921","16.34"
"1922","16.03"
"1923","16.37"
"1924","16.56"
"1925","16.43"
"1926","15.92"
"1927","16.80"
"1928","16.90"
"1929","16.55"
"1930","16.51"
"1931","16.97"
"1932","16.33"
"1933","16.63"
"1934","16.16"
"1935","16.41"
"1936","17.03"
"1937","16.02"
"1938","15.95"
"1939","16.29"
"1940","16.62"
"1941","17.00"
"1942","16.20"
"1943","16.02"
"1944","16.38"
"1945","15.51"
"1946","16.78"
"1947","16.08"
"1948","16.70"
"1949","15.80"
"1950","15.72"
"1951","17.16"
"1952","16.26"
"1953","16.46"
"1954","15.84"
"1955","16.13"
"1956","16.46"
"1957","17.06"
"1958","17.26"
"1959","16.96"
"1960","16.32"
"1961","15.96"
"1962","16.32"
"1963","17.08"
"1964","15.96"
"1965","16.57"
"1966","16.40"
"1967","16.44"
"1968","16.18"
"1969","16.69"
"1970","15.76"
"1971","15.84"
"1972","16.53"
"1973","16.09"
"1974","15.73"
"1975","15.58"
"1976","16.76"
"1977","17.02"
"1978","16.79"
"1979","17.56"
"1980","16.82"
"1981","16.17"
"1982","16.81"
"1983","16.20"
"1984","16.18"
"1985","16.33"
"1986","16.43"
"1987","16.80"
"1988","16.33"
"1989","16.41"
"1990","16.74"
"1991","16.34"
"1992","16.62"
"1993","16.69"
"1994","16.43"
"1995","17.84"
"1996","16.24"
"1997","17.21"
"1998","17.03"
"1999","16.65"
"2000","16.88"
"2001","16.95"
"2002","16.79"
"2003","16.76"
"2004","16.84"
"2005","16.43"
"2006","17.56"
"2007","16.61"
"2008","17.43"
"2009","17.20"
"2010","17.42"
"2011","17.16"
